
---------- Begin Simulation Statistics ----------
simSeconds                                   0.008382                       # Number of seconds simulated (Second)
simTicks                                   8382039500                       # Number of ticks simulated (Tick)
finalTick                                  8382039500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     53.83                       # Real time elapsed on the host (Second)
hostTickRate                                155715224                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     722032                       # Number of bytes of host memory used (Byte)
simInsts                                     12307857                       # Number of instructions simulated (Count)
simOps                                       20546293                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   228646                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     381693                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         16764080                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.362063                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.734180                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        40653546                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1400                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       35776618                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 172371                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             20108495                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          31914015                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 539                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            16579239                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.157917                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.631479                       # Number of insts issued each cycle (Count)
system.cpu.dcache.ReadReq.mshrHits::total        19882                       # number of ReadReq MSHR hits (Count)
system.cpu.dcache.ReadReq.mshrMisses::cpu.data        18088                       # number of ReadReq MSHR misses (Count)
system.cpu.dcache.ReadReq.mshrMisses::total        18088                       # number of ReadReq MSHR misses (Count)
system.cpu.dcache.ReadReq.mshrMissLatency::cpu.data    772588000                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu.dcache.ReadReq.mshrMissLatency::total    772588000                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu.dcache.ReadReq.mshrMissRate::cpu.data     0.002961                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu.dcache.ReadReq.mshrMissRate::total     0.002961                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu.dcache.ReadReq.avgMshrMissLatency::cpu.data 42712.737727                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu.dcache.ReadReq.avgMshrMissLatency::total 42712.737727                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu.dcache.WriteReq.hits::cpu.data      1633904                       # number of WriteReq hits (Count)
system.cpu.dcache.WriteReq.hits::total        1633904                       # number of WriteReq hits (Count)
system.cpu.dcache.WriteReq.misses::cpu.data         2548                       # number of WriteReq misses (Count)
system.cpu.dcache.WriteReq.misses::total         2548                       # number of WriteReq misses (Count)
system.cpu.dcache.WriteReq.missLatency::cpu.data    132691000                       # number of WriteReq miss ticks (Tick)
system.cpu.dcache.WriteReq.missLatency::total    132691000                       # number of WriteReq miss ticks (Tick)
system.cpu.dcache.WriteReq.accesses::cpu.data      1636452                       # number of WriteReq accesses(hits+misses) (Count)
system.cpu.dcache.WriteReq.accesses::total      1636452                       # number of WriteReq accesses(hits+misses) (Count)
system.cpu.dcache.WriteReq.missRate::cpu.data     0.001557                       # miss rate for WriteReq accesses (Ratio)
system.cpu.dcache.WriteReq.missRate::total     0.001557                       # miss rate for WriteReq accesses (Ratio)
system.cpu.dcache.WriteReq.avgMissLatency::cpu.data 52076.530612                       # average WriteReq miss latency ((Tick/Count))
system.cpu.dcache.WriteReq.avgMissLatency::total 52076.530612                       # average WriteReq miss latency ((Tick/Count))
system.cpu.dcache.WriteReq.mshrHits::cpu.data            1                       # number of WriteReq MSHR hits (Count)
system.cpu.dcache.WriteReq.mshrHits::total            1                       # number of WriteReq MSHR hits (Count)
system.cpu.dcache.WriteReq.mshrMisses::cpu.data         2547                       # number of WriteReq MSHR misses (Count)
system.cpu.dcache.WriteReq.mshrMisses::total         2547                       # number of WriteReq MSHR misses (Count)
system.cpu.dcache.WriteReq.mshrMissLatency::cpu.data    130132500                       # number of WriteReq MSHR miss ticks (Tick)
system.cpu.dcache.WriteReq.mshrMissLatency::total    130132500                       # number of WriteReq MSHR miss ticks (Tick)
system.cpu.dcache.WriteReq.mshrMissRate::cpu.data     0.001556                       # mshr miss rate for WriteReq accesses (Ratio)
system.cpu.dcache.WriteReq.mshrMissRate::total     0.001556                       # mshr miss rate for WriteReq accesses (Ratio)
system.cpu.dcache.WriteReq.avgMshrMissLatency::cpu.data 51092.461720                       # average WriteReq mshr miss latency ((Tick/Count))
system.cpu.dcache.WriteReq.avgMshrMissLatency::total 51092.461720                       # average WriteReq mshr miss latency ((Tick/Count))
system.cpu.dcache.power_state.pwrStateResidencyTicks::UNDEFINED   8382039500                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.dcache.tags.tagsInUse           509.540421                       # Average ticks per tags in use ((Tick/Count))
system.cpu.dcache.tags.totalRefs              7725570                       # Total number of references to valid blocks. (Count)
system.cpu.dcache.tags.sampledRefs              20632                       # Sample count of references to valid blocks. (Count)
system.cpu.dcache.tags.avgRefs             374.446006                       # Average number of references to valid blocks. ((Count/Count))
system.cpu.dcache.tags.warmupTick              170500                       # The tick when the warmup percentage was hit. (Tick)
system.cpu.dcache.tags.occupancies::cpu.data   509.540421                       # Average occupied blocks per tick, per requestor ((Count/Tick))
system.cpu.dcache.tags.avgOccs::cpu.data     0.995196                       # Average percentage of cache occupancy ((Ratio/Tick))
system.cpu.dcache.tags.avgOccs::total        0.995196                       # Average percentage of cache occupancy ((Ratio/Tick))
system.cpu.dcache.tags.occupanciesTaskId::1024          512                       # Occupied blocks per task id (Count)
system.cpu.dcache.tags.ageTaskId_1024::0          115                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_1024::1          226                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_1024::3          171                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ratioOccsTaskId::1024            1                       # Ratio of occupied blocks and all blocks, per task id (Ratio)
system.cpu.dcache.tags.tagAccesses           15511536                       # Number of tag accesses (Count)
system.cpu.dcache.tags.dataAccesses          15511536                       # Number of data accesses (Count)
system.cpu.dcache.tags.power_state.pwrStateResidencyTicks::UNDEFINED   8382039500                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.decode.status::Running             8192473     49.41%     49.41% # Number of cycles decode is running (Cycle)
system.cpu.decode.status::Idle                6719192     40.53%     89.94% # Number of cycles decode is idle (Cycle)
system.cpu.decode.status::Squashing            754283      4.55%     94.49% # Number of cycles decode is squashing (Cycle)
system.cpu.decode.status::Blocked              889963      5.37%     99.86% # Number of cycles decode is blocking (Cycle)
system.cpu.decode.status::Unblocking            23328      0.14%    100.00% # Number of cycles decode is unblocking (Cycle)
system.cpu.decode.branchResolved               969716                       # Number of times decode resolved a branch (Count)
system.cpu.decode.branchMispred                882804                       # Number of times decode detected a branch misprediction (Count)
system.cpu.decode.decodedInsts               47289380                       # Number of instructions handled by decode (Count)
system.cpu.decode.squashedInsts               3840213                       # Number of squashed instructions handled by decode (Count)
system.cpu.executeStats0.numInsts            32803370                       # Number of executed instructions (Count)
system.cpu.executeStats0.numNop                     0                       # Number of nop insts executed (Count)
system.cpu.executeStats0.numBranches          2660619                       # Number of branches executed (Count)
system.cpu.executeStats0.numLoadInsts         6261691                       # Number of load instructions executed (Count)
system.cpu.executeStats0.numStoreInsts        2132483                       # Number of stores executed (Count)
system.cpu.executeStats0.instRate            1.956765                       # Inst execution rate ((Count/Cycle))
system.cpu.executeStats0.numCCRegReads       11718745                       # Number of times the CC registers were read (Count)
system.cpu.executeStats0.numCCRegWrites      11260726                       # Number of times the CC registers were written (Count)
system.cpu.executeStats0.numFpAluAccesses       165682                       # Number of float alu accesses (Count)
system.cpu.executeStats0.numFpRegReads         221878                       # Number of times the floating registers were read (Count)
system.cpu.executeStats0.numFpRegWrites        106693                       # Number of times the floating registers were written (Count)
system.cpu.executeStats0.numIntAluAccesses     32671071                       # Number of integer alu accesses (Count)
system.cpu.executeStats0.numIntRegReads      36932339                       # Number of times the integer registers were read (Count)
system.cpu.executeStats0.numIntRegWrites     23966692                       # Number of times the integer registers were written (Count)
system.cpu.executeStats0.numMemRefs           8394174                       # Number of memory refs (Count)
system.cpu.executeStats0.numMiscRegReads     14208258                       # Number of times the Misc registers were read (Count)
system.cpu.executeStats0.numMiscRegWrites          648                       # Number of times the Misc registers were written (Count)
system.cpu.executeStats0.numVecAluAccesses            0                       # Number of vector alu accesses (Count)
system.cpu.executeStats0.numDiscardedOps            0                       # Number of ops (including micro ops) which were discarded before commit (Count)
system.cpu.fetch.status::running              9570732     52.69%     52.69% # Number of cycles fetch has run and was not squashing or blocked (Cycle)
system.cpu.fetch.status::squashing            3172242     17.46%     70.15% # Number of cycles fetch has spent squashing (Cycle)
system.cpu.fetch.status::trapPending             8822      0.05%     70.20% # Number of cycles fetch is waiting for a trap to be processed (Cycle)
system.cpu.fetch.status::icacheWaitResponse      5413023     29.80%    100.00% # Number of cycles fetch is waiting for the Icache to respond (Cycle)
system.cpu.fetch.predictedBranches             869252                       # Number of branches that fetch has predicted taken (Count)
system.cpu.fetch.miscStallCycles                  541                       # Number of cycles fetch has spent waiting on interrupts, or bad addresses, or out of MSHRs (Cycle)
system.cpu.fetch.cacheLines                   4583592                       # Number of cache lines fetched (Count)
system.cpu.fetch.icacheSquashes                593151                       # Number of outstanding Icache misses that were squashed (Count)
system.cpu.fetch.nisnDist::samples           16579239                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::mean              3.440977                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::stdev             3.712689                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::underflows               0      0.00%      0.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::0                  7978290     48.12%     48.12% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::1                   670051      4.04%     52.16% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::2                   293426      1.77%     53.93% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::3                   393823      2.38%     56.31% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::4                   242078      1.46%     57.77% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::5                   334917      2.02%     59.79% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::6                   509153      3.07%     62.86% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::7                   347414      2.10%     64.96% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::8                  5810087     35.04%    100.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::overflows                0      0.00%    100.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::min_value                0                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::max_value                8                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::total             16579239                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.ftNumber::samples            9570732                       # Number of fetch targets processed each cycle (Total) (Count)
system.cpu.fetch.ftNumber::mean                     0                       # Number of fetch targets processed each cycle (Total) (Count)
system.cpu.fetch.ftNumber::stdev                    0                       # Number of fetch targets processed each cycle (Total) (Count)
system.cpu.fetch.ftNumber::underflows               0      0.00%      0.00% # Number of fetch targets processed each cycle (Total) (Count)
system.cpu.fetch.ftNumber::0                  9570732    100.00%    100.00% # Number of fetch targets processed each cycle (Total) (Count)
system.cpu.fetch.ftNumber::1                        0      0.00%    100.00% # Number of fetch targets processed each cycle (Total) (Count)
system.cpu.fetch.ftNumber::2                        0      0.00%    100.00% # Number of fetch targets processed each cycle (Total) (Count)
system.cpu.fetch.ftNumber::3                        0      0.00%    100.00% # Number of fetch targets processed each cycle (Total) (Count)
system.cpu.fetch.ftNumber::4                        0      0.00%    100.00% # Number of fetch targets processed each cycle (Total) (Count)
system.cpu.fetch.ftNumber::overflows                0      0.00%    100.00% # Number of fetch targets processed each cycle (Total) (Count)
system.cpu.fetch.ftNumber::min_value                0                       # Number of fetch targets processed each cycle (Total) (Count)
system.cpu.fetch.ftNumber::max_value                0                       # Number of fetch targets processed each cycle (Total) (Count)
system.cpu.fetch.ftNumber::total              9570732                       # Number of fetch targets processed each cycle (Total) (Count)
system.cpu.fetchStats0.numInsts              31654977                       # Number of instructions fetched (thread level) (Count)
system.cpu.fetchStats0.numOps                       0                       # Number of ops (including micro ops) fetched (thread level) (Count)
system.cpu.fetchStats0.fetchRate             1.888262                       # Number of inst fetches per cycle ((Count/Cycle))
system.cpu.fetchStats0.numBranches            5758397                       # Number of branches fetched (Count)
system.cpu.fetchStats0.branchRate            0.343496                       # Number of branch fetches per cycle (Ratio)
system.cpu.fetchStats0.icacheStallCycles      5413023                       # ICache total stall cycles (Cycle)
system.cpu.fetchStats0.numFetchSuspends             0                       # Number of times Execute suspended instruction fetching (Count)
system.cpu.ftq.inserts                              0                       # The number of FTQ insertions (Count)
system.cpu.ftq.removals                             0                       # The number of FTQ removals. Not including squashes (Count)
system.cpu.ftq.squashes                             0                       # The number of FTQ squashes (Count)
system.cpu.ftq.locks                                0                       # The number of times the FTQ got locked. (Count)
system.cpu.ftq.occupancy::samples                   0                       # Distribution of the FTQ occupation. (Count)
system.cpu.ftq.occupancy::mean                    nan                       # Distribution of the FTQ occupation. (Count)
system.cpu.ftq.occupancy::stdev                   nan                       # Distribution of the FTQ occupation. (Count)
system.cpu.ftq.occupancy::underflows                0                       # Distribution of the FTQ occupation. (Count)
system.cpu.ftq.occupancy::0-3                       0                       # Distribution of the FTQ occupation. (Count)
system.cpu.ftq.occupancy::4-7                       0                       # Distribution of the FTQ occupation. (Count)
system.cpu.ftq.occupancy::8                         0                       # Distribution of the FTQ occupation. (Count)
system.cpu.ftq.occupancy::overflows                 0                       # Distribution of the FTQ occupation. (Count)
system.cpu.ftq.occupancy::min_value                 0                       # Distribution of the FTQ occupation. (Count)
system.cpu.ftq.occupancy::max_value                 0                       # Distribution of the FTQ occupation. (Count)
system.cpu.ftq.occupancy::total                     0                       # Distribution of the FTQ occupation. (Count)
system.cpu.icache.demandHits::cpu.inst        4579493                       # number of demand (read+write) hits (Count)
system.cpu.icache.demandHits::total           4579493                       # number of demand (read+write) hits (Count)
system.cpu.icache.overallHits::cpu.inst       4579493                       # number of overall hits (Count)
system.cpu.icache.overallHits::total          4579493                       # number of overall hits (Count)
system.cpu.icache.demandMisses::cpu.inst         4099                       # number of demand (read+write) misses (Count)
system.cpu.icache.demandMisses::total            4099                       # number of demand (read+write) misses (Count)
system.cpu.icache.overallMisses::cpu.inst         4099                       # number of overall misses (Count)
system.cpu.icache.overallMisses::total           4099                       # number of overall misses (Count)
system.cpu.icache.demandMissLatency::cpu.inst    243960000                       # number of demand (read+write) miss ticks (Tick)
system.cpu.icache.demandMissLatency::total    243960000                       # number of demand (read+write) miss ticks (Tick)
system.cpu.icache.overallMissLatency::cpu.inst    243960000                       # number of overall miss ticks (Tick)
system.cpu.icache.overallMissLatency::total    243960000                       # number of overall miss ticks (Tick)
system.cpu.icache.demandAccesses::cpu.inst      4583592                       # number of demand (read+write) accesses (Count)
system.cpu.icache.demandAccesses::total       4583592                       # number of demand (read+write) accesses (Count)
system.cpu.icache.overallAccesses::cpu.inst      4583592                       # number of overall (read+write) accesses (Count)
system.cpu.icache.overallAccesses::total      4583592                       # number of overall (read+write) accesses (Count)
system.cpu.icache.demandMissRate::cpu.inst     0.000894                       # miss rate for demand accesses (Ratio)
system.cpu.icache.demandMissRate::total      0.000894                       # miss rate for demand accesses (Ratio)
system.cpu.icache.overallMissRate::cpu.inst     0.000894                       # miss rate for overall accesses (Ratio)
system.cpu.icache.overallMissRate::total     0.000894                       # miss rate for overall accesses (Ratio)
system.cpu.icache.demandAvgMissLatency::cpu.inst 59516.955355                       # average overall miss latency in ticks ((Tick/Count))
system.cpu.icache.demandAvgMissLatency::total 59516.955355                       # average overall miss latency in ticks ((Tick/Count))
system.cpu.icache.overallAvgMissLatency::cpu.inst 59516.955355                       # average overall miss latency ((Tick/Count))
system.cpu.icache.overallAvgMissLatency::total 59516.955355                       # average overall miss latency ((Tick/Count))
system.cpu.icache.blockedCycles::no_mshrs            0                       # number of cycles access was blocked (Cycle)
system.cpu.icache.blockedCycles::no_wbuffers            0                       # number of cycles access was blocked (Cycle)
system.cpu.icache.blockedCycles::no_targets            0                       # number of cycles access was blocked (Cycle)
system.cpu.icache.blockedCauses::no_mshrs            0                       # number of times access was blocked (Count)
system.cpu.icache.blockedCauses::no_wbuffers            0                       # number of times access was blocked (Count)
system.cpu.icache.blockedCauses::no_targets            0                       # number of times access was blocked (Count)
system.cpu.icache.avgBlocked::no_mshrs            nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.icache.avgBlocked::no_wbuffers          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.icache.avgBlocked::no_targets          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.icache.writebacks::writebacks            1                       # number of writebacks (Count)
system.cpu.icache.writebacks::total                 1                       # number of writebacks (Count)
system.cpu.icache.demandMshrHits::cpu.inst          910                       # number of demand (read+write) MSHR hits (Count)
system.cpu.icache.demandMshrHits::total           910                       # number of demand (read+write) MSHR hits (Count)
system.cpu.icache.overallMshrHits::cpu.inst          910                       # number of overall MSHR hits (Count)
system.cpu.icache.overallMshrHits::total          910                       # number of overall MSHR hits (Count)
system.cpu.icache.demandMshrMisses::cpu.inst         3189                       # number of demand (read+write) MSHR misses (Count)
system.cpu.icache.demandMshrMisses::total         3189                       # number of demand (read+write) MSHR misses (Count)
system.cpu.icache.overallMshrMisses::cpu.inst         3189                       # number of overall MSHR misses (Count)
system.cpu.icache.overallMshrMisses::total         3189                       # number of overall MSHR misses (Count)
system.cpu.icache.demandMshrMissLatency::cpu.inst    196806000                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu.icache.demandMshrMissLatency::total    196806000                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu.icache.overallMshrMissLatency::cpu.inst    196806000                       # number of overall MSHR miss ticks (Tick)
system.cpu.icache.overallMshrMissLatency::total    196806000                       # number of overall MSHR miss ticks (Tick)
system.cpu.icache.demandMshrMissRate::cpu.inst     0.000696                       # mshr miss ratio for demand accesses (Ratio)
system.cpu.icache.demandMshrMissRate::total     0.000696                       # mshr miss ratio for demand accesses (Ratio)
system.cpu.icache.overallMshrMissRate::cpu.inst     0.000696                       # mshr miss ratio for overall accesses (Ratio)
system.cpu.icache.overallMshrMissRate::total     0.000696                       # mshr miss ratio for overall accesses (Ratio)
system.cpu.icache.demandAvgMshrMissLatency::cpu.inst 61714.016933                       # average overall mshr miss latency ((Tick/Count))
system.cpu.icache.demandAvgMshrMissLatency::total 61714.016933                       # average overall mshr miss latency ((Tick/Count))
system.cpu.icache.overallAvgMshrMissLatency::cpu.inst 61714.016933                       # average overall mshr miss latency ((Tick/Count))
system.cpu.icache.overallAvgMshrMissLatency::total 61714.016933                       # average overall mshr miss latency ((Tick/Count))
system.cpu.icache.replacements                   2668                       # number of replacements (Count)
system.cpu.icache.ReadReq.hits::cpu.inst      4579493                       # number of ReadReq hits (Count)
system.cpu.icache.ReadReq.hits::total         4579493                       # number of ReadReq hits (Count)
system.cpu.icache.ReadReq.misses::cpu.inst         4099                       # number of ReadReq misses (Count)
system.cpu.icache.ReadReq.misses::total          4099                       # number of ReadReq misses (Count)
system.cpu.icache.ReadReq.missLatency::cpu.inst    243960000                       # number of ReadReq miss ticks (Tick)
system.cpu.icache.ReadReq.missLatency::total    243960000                       # number of ReadReq miss ticks (Tick)
system.cpu.icache.ReadReq.accesses::cpu.inst      4583592                       # number of ReadReq accesses(hits+misses) (Count)
system.cpu.icache.ReadReq.accesses::total      4583592                       # number of ReadReq accesses(hits+misses) (Count)
system.cpu.icache.ReadReq.missRate::cpu.inst     0.000894                       # miss rate for ReadReq accesses (Ratio)
system.cpu.icache.ReadReq.missRate::total     0.000894                       # miss rate for ReadReq accesses (Ratio)
system.cpu.icache.ReadReq.avgMissLatency::cpu.inst 59516.955355                       # average ReadReq miss latency ((Tick/Count))
system.cpu.icache.ReadReq.avgMissLatency::total 59516.955355                       # average ReadReq miss latency ((Tick/Count))
system.cpu.icache.ReadReq.mshrHits::cpu.inst          910                       # number of ReadReq MSHR hits (Count)
system.cpu.icache.ReadReq.mshrHits::total          910                       # number of ReadReq MSHR hits (Count)
system.cpu.icache.ReadReq.mshrMisses::cpu.inst         3189                       # number of ReadReq MSHR misses (Count)
system.cpu.icache.ReadReq.mshrMisses::total         3189                       # number of ReadReq MSHR misses (Count)
system.cpu.icache.ReadReq.mshrMissLatency::cpu.inst    196806000                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu.icache.ReadReq.mshrMissLatency::total    196806000                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu.icache.ReadReq.mshrMissRate::cpu.inst     0.000696                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu.icache.ReadReq.mshrMissRate::total     0.000696                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu.icache.ReadReq.avgMshrMissLatency::cpu.inst 61714.016933                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu.icache.ReadReq.avgMshrMissLatency::total 61714.016933                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu.icache.power_state.pwrStateResidencyTicks::UNDEFINED   8382039500                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.icache.tags.tagsInUse           509.348392                       # Average ticks per tags in use ((Tick/Count))
system.cpu.icache.tags.totalRefs              4582681                       # Total number of references to valid blocks. (Count)
system.cpu.icache.tags.sampledRefs               3188                       # Sample count of references to valid blocks. (Count)
system.cpu.icache.tags.avgRefs            1437.478356                       # Average number of references to valid blocks. ((Count/Count))
system.cpu.icache.tags.warmupTick               82000                       # The tick when the warmup percentage was hit. (Tick)
system.cpu.icache.tags.occupancies::cpu.inst   509.348392                       # Average occupied blocks per tick, per requestor ((Count/Tick))
system.cpu.icache.tags.avgOccs::cpu.inst     0.994821                       # Average percentage of cache occupancy ((Ratio/Tick))
system.cpu.icache.tags.avgOccs::total        0.994821                       # Average percentage of cache occupancy ((Ratio/Tick))
system.cpu.icache.tags.occupanciesTaskId::1024          512                       # Occupied blocks per task id (Count)
system.cpu.icache.tags.ageTaskId_1024::0          114                       # Occupied blocks per task id, per block age (Count)
system.cpu.icache.tags.ageTaskId_1024::1          225                       # Occupied blocks per task id, per block age (Count)
system.cpu.icache.tags.ageTaskId_1024::3          173                       # Occupied blocks per task id, per block age (Count)
system.cpu.icache.tags.ratioOccsTaskId::1024            1                       # Ratio of occupied blocks and all blocks, per task id (Ratio)
system.cpu.icache.tags.tagAccesses            9170372                       # Number of tag accesses (Count)
system.cpu.icache.tags.dataAccesses           9170372                       # Number of data accesses (Count)
system.cpu.icache.tags.power_state.pwrStateResidencyTicks::UNDEFINED   8382039500                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.iew.dispatchStatus::running       15607162     94.14%     94.14% # Number of cycles dispatch is running (Cycle)
system.cpu.iew.dispatchStatus::blocked         196943      1.19%     95.32% # Number of cycles dispatch is blocked (Cycle)
system.cpu.iew.dispatchStatus::squashing       754283      4.55%     99.87% # Number of cycles dispatch is squashing (Cycle)
system.cpu.iew.dispatchStatus::unblocking        20851      0.13%    100.00% # Number of cycles dispatch is unblocking (Cycle)
system.cpu.iew.dispatchedInsts               40654946                       # Number of instructions dispatched to IQ (Count)
system.cpu.iew.dispSquashedInsts              1577033                       # Number of squashed instructions skipped by dispatch (Count)
system.cpu.iew.dispLoadInsts                  7001206                       # Number of dispatched load instructions (Count)
system.cpu.iew.dispStoreInsts                 3804324                       # Number of dispatched store instructions (Count)
system.cpu.iew.dispNonSpecInsts                   928                       # Number of dispatched non-speculative instructions (Count)
system.cpu.iew.iqFullEvents                      3708                       # Number of times the IQ has become full, causing a stall (Count)
system.cpu.iew.lsqFullEvents                    15270                       # Number of times the LSQ has become full, causing a stall (Count)
system.cpu.iew.memOrderViolationEvents             94                       # Number of memory order violations (Count)
system.cpu.iew.predictedTakenIncorrect          13890                       # Number of branches that were predicted taken incorrectly (Count)
system.cpu.iew.predictedNotTakenIncorrect       845310                       # Number of branches that were predicted not taken incorrectly (Count)
system.cpu.iew.branchMispredicts               859200                       # Number of branch mispredicts detected at execute (Count)
system.cpu.iew.instsToCommit                 31199821                       # Cumulative count of insts sent to commit (Count)
system.cpu.iew.writebackCount                31194945                       # Cumulative count of insts written-back (Count)
system.cpu.iew.producerInst                  22344512                       # Number of instructions producing a value (Count)
system.cpu.iew.consumerInst                  31528382                       # Number of instructions consuming a value (Count)
system.cpu.iew.wbRate                        1.860821                       # Insts written-back per cycle ((Count/Cycle))
system.cpu.iew.wbFanout                      0.708711                       # Average fanout of values written-back ((Count/Count))
system.cpu.interrupts.clk_domain.clock           8000                       # Clock period in ticks (Tick)
system.cpu.lsq0.forwLoads                      150545                       # Number of loads that had data forwarded from stores (Count)
system.cpu.lsq0.squashedLoads                 4130975                       # Number of loads squashed (Count)
system.cpu.lsq0.ignoredResponses                 3329                       # Number of memory responses ignored because the instruction is squashed (Count)
system.cpu.lsq0.memOrderViolation                  94                       # Number of memory ordering violations (Count)
system.cpu.lsq0.squashedStores                2167811                       # Number of stores squashed (Count)
system.cpu.lsq0.rescheduledLoads                    5                       # Number of loads that were rescheduled (Count)
system.cpu.lsq0.blockedByCache                     10                       # Number of times an access to memory failed due to the cache being blocked (Count)
system.cpu.lsq0.loadToUse::samples            2870231                       # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::mean              4.082717                       # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::stdev            12.883475                       # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::0-9                2842247     99.03%     99.03% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::10-19                  455      0.02%     99.04% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::20-29                 9650      0.34%     99.38% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::30-39                  475      0.02%     99.39% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::40-49                  107      0.00%     99.40% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::50-59                   94      0.00%     99.40% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
